budget,id,original_language,popularity,release_date,revenue,status,title,vote_average,vote_count,release_year,return,name_collection,day,month,genre,actors,director
19000000.0,755,en,108.000000,1996-01-19,25836616.0,Released,From Dusk Till Dawn,6.9,1644.0,1996,1.36,From Dusk Till Dawn Collection,Friday,January,"Horror, Action, Thriller, Crime","George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu, Salma Hayek, Cheech Marin, Danny Trejo, Tom Savini, Fred Williamson, Michael Parks, Brenda Hillhouse, John Saxon, Marc Lawrence, Kelly Preston, John Hawkes, Tito Larriva, Peter Atanasoff, Johnny Vatos Hernandez, Aimee Graham, Heidi McNeal, Ernest M. Garcia, Gregory Nicotero, Cristos, Mike Moroff, Tia Texada, Janine Jordae, Ungela Brockman, Michelle Berube, Michael McKay, Jake McKinnon, Walter Phelan, Wayne Toth",Robert Rodriguez
20000000.0,9102,en,108.000000,1995-09-08,5781885.0,Released,Screamers,6.1,154.0,1995,0.29,Screamers Collection,Friday,September,"Horror, Science Fiction","Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer, Liliana Komorowska, Michael Caloz, Jason Cavalier, Ron White, Charles Edwin Powell",Christian Duguay
0.0,10874,en,100.000000,1996-02-16,34327391.0,Released,Muppet Treasure Island,6.5,93.0,1996,0.0,The Muppet Collection,Friday,February,"Action, Comedy, Music, Family, Adventure","Tim Curry, Kevin Bishop, Jennifer Saunders, Billy Connolly, Dave Goelz, Frank Oz, Steve Whitmire, David Nicholls, Frederick Warder, Harry Jones, Peter Geeves, Jessica Hamilton",Brian Henson
17000000.0,27793,en,95.000000,1994-10-26,0.0,Released,The Neverending Story III: Escape from Fantasia,4.4,105.0,1994,0.0,The Neverending Story Collection,Wednesday,October,Fantasy,"Jason James Richter, Melody Kay, Kevin McNulty, Tracey Ellis, Jack Black, Carole Finn, Ryan Bollman, Freddie Jones, Julie Cox, Moya Brady, Tony Robinson, Thomas Petruo, Nicole Parker, Adrien Dorval",Peter MacDonald
19000000.0,9737,en,118.000000,1995-04-07,141407024.0,Released,Bad Boys,6.5,1729.0,1995,7.44,Bad Boys Collection,Friday,April,"Action, Comedy, Crime, Thriller","Will Smith, Martin Lawrence, TÃ©a Leoni, TchÃ©ky Karyo, Joe Pantoliano, Marg Helgenberger, Michael Imperioli, Theresa Randle, Anna Levine, Nestor Serrano, Kevin Corrigan, Julio Oscar Mechoso, Saverio Guerra, Vic Manni, Frank John Hughes, Mike Kirton, Emmanuel Xuereb, Ralph Gonzalez, John Salley, Lisa Boyle, Marc Macaulay, Karen Alexander, Heather Davis, Buddy Bolton, Will Knickerbocker, Tiffany Samuels, Cory Hodges, Scott Cumberbatch, Michael Taliferro, Fawn Reed, Joey Romano, Sam Ayers",Michael Bay
100000000.0,414,en,121.000000,1995-06-16,336529144.0,Released,Batman Forever,5.2,1529.0,1995,3.37,Batman Collection,Friday,June,"Action, Crime, Fantasy","Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman, Chris O'Donnell, Michael Gough, Pat Hingle, Drew Barrymore, Debi Mazar, Elizabeth Sanders, Rene Auberjonois, Joe Grifasi, Philip Moon, Jessica Tuck, Dennis Paladino, Don Wilson, Bob Zmuda",Joel Schumacher
2000000.0,5894,en,83.000000,1995-09-15,1275000.0,Released,Blue in the Face,6.8,28.0,1995,0.64,Brooklyn Cigar Store Collection,Friday,September,Comedy,"Harvey Keitel, Lou Reed, Michael J. Fox, Roseanne Barr, Lily Tomlin, Giancarlo Esposito, JosÃ© ZÃºÃ±iga, Madonna, Mira Sorvino, Keith David, Victor Argo, Jim Jarmusch, Jared Harris, Mel Gorham, Malik Yoba, John Lurie, Stephen Gevedon, Sharif Rashed, Peggy Gormley, RuPaul","Paul Auster, Wayne Wang"
50000000.0,8839,en,100.000000,1995-05-26,287928194.0,Released,Casper,6.0,1045.0,1995,5.76,Casper Collection,Friday,May,"Fantasy, Comedy, Family","Christina Ricci, Bill Pullman, Cathy Moriarty, Eric Idle, Joe Nipote, Joe Alaskey, Brad Garrett, Garette Ratliff Henson, Jessica Wesson, Amy Brenneman, Malachi Pearson, Chauncey Leopardi, Spencer Vrooman, Ben Stein, Don Novello, Fred Rogers, Terry Murphy, Ernestine Mercer, Doug Bruckner, John Kassir, Wesley Thompson, Michael Dubrow, J.J. Anderson, Jess Harnell, Michael McCarty, Micah Winkelspecht, Mike Simmrin, Devon Sawa, Dan Aykroyd, Rodney Dangerfield, Clint Eastwood, Mel Gibson, Elise Main, Tony Stef'Ano",Brad Silberling
7000000.0,8068,en,104.000000,1995-08-25,25405445.0,Released,Desperado,6.8,898.0,1995,3.63,Mexico Trilogy,Friday,August,"Thriller, Action, Crime","Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin, Steve Buscemi, Carlos AndrÃ©s GÃ³mez, Quentin Tarantino, Tito Larriva, Angel Aviles, Danny Trejo, Abraham Verduzco, Carlos Gallardo, Albert Michel Jr., David Alvarado, Angela Lanza, Elizabeth Rodriguez",Robert Rodriguez
90000000.0,1572,en,128.000000,1995-05-19,366101666.0,Released,Die Hard: With a Vengeance,6.9,2094.0,1995,4.07,Die Hard Collection,Friday,May,"Action, Thriller","Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene, Colleen Camp, Larry Bryggman, Anthony Peck, Nicholas Wyman, Sam Phillips, Kevin Chamberlin, Sharon Washington, Stephen Pearlman, Michael Alexander Jackson, Aldis Hodge, Mischa Hausserman, Michael Cristofer, Tony Halme",John McTiernan
0.0,13552,en,80.000000,1995-10-27,0.0,Released,The Doom Generation,5.6,57.0,1995,0.0,Teenage Apocalypse Trilogy,Friday,October,"Action, Comedy, Crime, Drama","Rose McGowan, James Duval, Johnathon Schaech, Cress Williams, Dustin Nguyen, Margaret Cho, Christopher Knight, Nicky Katt, Perry Farrell, Parker Posey, Salvator Xuereb, Heidi Fleiss, Lauren Tewes, Amanda Bearse",Gregg Araki
0.0,9073,en,95.000000,1995-07-19,0.0,Released,Free Willy 2 - The Adventure Home,5.5,130.0,1995,0.0,Free Willy Collection,Wednesday,July,Adventure,"Jason James Richter, Michael Madsen, Jayne Atkinson, August Schellenberg, Mary Kate Schellhardt, Francis Capra, Mykelti Williamson, Elizabeth PeÃ±a, Jon Tenney, M. Emmet Walsh",Dwight H. Little
15000000.0,9070,en,92.000000,1995-06-30,66000000.0,Released,Mighty Morphin Power Rangers: The Movie,5.2,153.0,1995,4.4,Power Rangers Collection,Friday,June,"Action, Adventure, Science Fiction, Family, Fantasy","Amy Jo Johnson, Jason David Frank, David Yost, Johnny Yong Bosch, Steve Cardenas, Karan Ashley, Paul Schrier, Jason Narvy, Paul Freeman, Gabrielle Fitzpatrick, Jamie Croft, Peter Mochrie",Bryan Spicer
22000000.0,1642,en,114.000000,1995-07-28,110627965.0,Released,The Net,5.6,359.0,1995,5.03,SÃ­Å¥ (kolekce),Friday,July,"Crime, Drama, Mystery, Thriller, Action","Sandra Bullock, Jeremy Northam, Dennis Miller, Wendy Gazelle, Ken Howard, Diane Baker, Ray McKinnon, Daniel Schorr, L. Scott Caldwell, Robert Gossett, Kristina Krofft, Tony Perez, Gene Kirkwood, Christopher Darga, Charles Winkler, Julia Pearlstein, Rick Snyder, Gerald Berns, Tannis Benedict, Vaughn Armstrong, Wren T. Brown, Lynn Blades, Israel Juarbe, Julia Vera, Lewis Dix Jr., Lili Flanders, Adam Winkler, Brian E. Frankish, Wanda-Lee Evans, David Winkler, Andrew Amador, Juan GarcÃ­a",Irwin Winkler
8.0,11980,en,98.000000,1995-09-01,16.0,Released,The Prophecy,6.4,139.0,1995,2.0,The Prophecy Collection,Friday,September,"Fantasy, Horror, Thriller","Christopher Walken, Elias Koteas, Virginia Madsen, Eric Stoltz, Adam Goldberg, Viggo Mortensen, Amanda Plummer, Shawn Nelson, Emily Conforto",Gregory Widen
45000000.0,10802,en,128.000000,1995-09-22,20350754.0,Released,Showgirls,4.9,261.0,1995,0.45,Showgirls Collection,Friday,September,Drama,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer, Robert Davi, Alan Rachins, Gina Ravera, Lin Tucci, Greg Travis, Al Ruscio, Patrick Bristow, William Shockley, Bobbie Phillips, Dewey Weber, Rena Riffel, Michelle Johnston, Lisa Boyle, Jack McGee, Caroline Key Johnson, Julie Pop, Jacob Witkin, Kristen Knittle, Carrie Ann Inaba",Paul Verhoeven
7000000.0,10149,en,112.000000,1995-06-09,8349430.0,Released,Smoke,7.2,115.0,1995,1.19,Brooklyn Cigar Store Collection,Friday,June,"Comedy, Drama","Harvey Keitel, William Hurt, Giancarlo Esposito, JosÃ© ZÃºÃ±iga, Stephen Gevedon, Jared Harris, Harold Perrineau, Forest Whitaker, Stockard Channing, Ashley Judd, Victor Argo, Michelle Hurst, Erica Gimpel, Malik Yoba","Wayne Wang, Paul Auster"
35000000.0,9348,en,108.000000,1995-07-07,113374103.0,Released,Species,5.5,457.0,1995,3.24,Species Collection,Friday,July,"Science Fiction, Horror, Action","Natasha Henstridge, Ben Kingsley, Michael Madsen, Alfred Molina, Forest Whitaker, Michelle Williams, Marg Helgenberger, Jordan Lund, Herta Ware, William Utay, Don Fischer, Scott McKenna, Virginia Morris, Jayne Luke, David K. Schroeder, David Jensen, Esther Scott, Shirley Prestia, David Selburg, Melissa Bickerton, Lucy Rodriguez, Scott Sproule, Stogie Kenyatta, Gary Bullock, Susan Hauser, William Bumiller, Caroline Barclay, Matthew Ashford, Anthony Guidera, Sara Lise, Whip Hubley, Patricia Belcher, Richard Fancy, Leslie Ishii, Marliese Schneiderman, Robert Mendelson, Pamela Cook, Lisa Liberati, Ed Stone, Dendrie Taylor, Kurtis Burow, Dana Hee, Frank Welker, Justin Armao, Jellybean BenÃ­tez, Greg Bronson, Jimmy Chunga, James Ent, Roman GÃ¼ttinger, Christopher Ivins, Zak Knutson, Coati Mundi, Jason Newell",Roger Donaldson
60000000.0,3512,en,100.000000,1995-07-13,104324083.0,Released,Under Siege 2: Dark Territory,5.6,217.0,1995,1.74,Under Siege Collection,Thursday,July,"Action, Thriller","Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl, ÐÐ¾ÑÑÐ¸Ñ Ð§ÐµÑÑÐ½Ð°Ñ, Peter Greene, Patrick Kilpatrick, Scott Sowers, Afifi Alaouie, Andy Romano, Brenda Bakke, Sandra Taylor",Geoff Murphy
2500000.0,76,en,105.000000,1995-01-27,5535405.0,Released,Before Sunrise,7.7,984.0,1995,2.21,Before... Collection,Friday,January,"Drama, Romance","Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno PÃ¶schl, Karl Bruckschwaiger, Tex Rubinowitz, Erni Mangold, Dominik Castell, Haymon Maria Buttinger, Harold Waiglein, Bilge Jeschim, Kurti, Hans Weingartner, Liese Lyon, Peter Ily Huemer, Otto Reiter, Hubert Fabian Kulterer, Branko Andric, Constanze Schweiger, John Sloss, Alexandra Seibel, Georg SchÃ¶llhammer, Christian Ankowitsch, Wilbirg Reiter, Barbara Klebel, Wolfgang Staribacher, Wolfgang GlÃ¼xam",Richard Linklater
27000.0,2292,en,92.000000,1994-09-13,3151130.0,Released,Clerks,7.4,769.0,1994,116.71,Clerks Collection,Tuesday,September,Comedy,"Brian O'Halloran, Jeff Anderson, Jason Mewes, Kevin Smith, Lisa Spoonhauer, Marilyn Ghigliotti, Scott Mosier, Walt Flanagan, Scott Schiaffo, David Klein, Ed Hapstak, Pattijean Csik, John Henry Westhead, Kimberly Loughran, Grace Smith",Kevin Smith
16000000.0,8467,en,107.000000,1994-12-16,247275374.0,Released,Dumb and Dumber,6.5,1894.0,1994,15.45,Dumb and Dumber Collection,Friday,December,Comedy,"Jim Carrey, Jeff Daniels, Lauren Holly, Teri Garr, Mike Starr, Karen Duffy, Charles Rocket, Victoria Rowell, Brady Bluhm, Cam Neely, Rob Moran, Joe Baker, Hank Brandt, Felton Perry, Brad Lockerman, Kathryn Frick, Zen Gesner, Lawrence Kopp, Clint Allen, Connie Sawyer, Lin Shaye, Mike Watkis, Harland Williams, Diane Kinerk, Lisa Stothard, Sean Gildea, Charles Rahi Chun, Helen Boll, Fred Stoller, Hillary Matthews, Karen Ingram, Jesse Borja, Vene L. Arcoraci, Anna Anka, Samantha Carpel, Elaine Wood, Bruce Bowns, Denise Vienne, Nancy Farrelly, Catalina Izasa, Samatha Pearson, Ken Duvall, Cecile Krevoy, George Bedard, Bill Beauchene, Gary Sivertsen, John Stroehman, Terry Mullany, Brad Blank, Mark Miosky, Mike Cavallo, Tom Leasca, Kevin Sheehan, Kenny Griswold, Brian Mone, Brad Norton, Chris Spain, Paul Pelletier, Mark Levine, Billy Smith, Mark Charpentier, James 'Sporty' Ahern, Jim Blake, Traci Adell, Anita Rice, Pam Nielson, Nancy Barker, Brad Lowder, Doug Caputo, James Horrocks, Clemens E. Franek, Marty Fresca, Valentina, Kirsten Maryott, Bryan Moss, Craig Patterson, Irene Santiago, Craig Patterson, Josh Shipley, John Yost","Peter Farrelly, Bobby Farrelly"
0.0,15789,en,78.000000,1995-04-07,35348597.0,Released,A Goofy Movie,6.7,404.0,1995,0.0,A Goofy Movie Collection,Friday,April,"Romance, Animation, Family, Comedy, Adventure","Bill Farmer, Jason Marsden, Rob Paulsen, Jim Cummings, Kellie Martin, Kevin Lima, Jenna von Oy, Joey Lawrence, Julie Brown, Wayne Allwine, Wallace Shawn, Florence Stanley, Frank Welker, Pat Buttram, Pauly Shore","Kevin Lima, Paul Brizzi"
60000000.0,628,en,123.000000,1994-11-11,223664608.0,Released,Interview with the Vampire,7.2,1558.0,1994,3.73,The Vampire Chronicles,Friday,November,"Horror, Romance","Brad Pitt, Tom Cruise, Kirsten Dunst, Antonio Banderas, Christian Slater, Stephen Rea, Thandie Newton, Domiziana Giordano, Sara Stockbridge, Indra OvÃ©, Laure Marsac, Andrew Tiernan, Bellina Logan, George Kelly, Helen McCrory",Neil Jordan
11000000.0,11,en,121.000000,1977-05-25,775398007.0,Released,Star Wars,8.1,6778.0,1977,70.49,Star Wars Collection,Wednesday,May,"Adventure, Action, Science Fiction","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, James Earl Jones, Phil Brown, Shelagh Fraser, Jack Purvis, Eddie Byrne, Denis Lawson, Garrick Hagon, Don Henderson, Leslie Schofield, Richard LeParmentier, Michael Leader, Alex McCrindle, Drewe Henley, Jack Klaff, William Hootkins, Angus MacInnes, Jeremy Sinden, Graham Ashley, David Ankrum, Mark Austin, Scott Beach, Lightning Bear, Jon Berg, Doug Beswick, Paul Blake, Janice Burchette, Ted Burnett, John Chapman, Gilda Cohen, Tim Condren, Barry Copping, Alfie Curtis, Robert Davies, Maria De Aragon, Robert A. Denham, Frazer Diamond, Peter Diamond, Warwick Diamond, Sadie Eden, Kim Falkinburg, Harry Fielder, Ted Gagliano, Salo Gardner, Steve Gawley, Barry Gnome, Rusty Goffe, Isaac Grand, Nelson Hall, Reg Harding, Alan Harris, Frank Henson, Christine Hewett, Arthur Howell, Tommy Ilsley, Joe Johnston, Annette Jones, Linda Jones, Joe Kaye, Colin Michael Kitchens, Melissa Kurtz, Tiffany L. Kurtz, Al Lampert, Anthony Lang, Laine Liska, Derek Lyons, Mahjoub, Alf Mangan, Rick McCallum, Grant McCune, Geoffrey Moon, Mandy Morton, Lorne Peterson, Marcus Powell, Shane Rimmer, Pam Rose, George Roubicek, Erica Simmons, Angela Staines, George Stock, Roy Straite, Peter Sturgeon, Peter Sumner, John Sylla, Tom Sylla, Malcolm Tierney, Phil Tippett, Burnell Tucker, Morgan Upton, Jerry Walter, Hal Wamsley, Larry Ward, Diana Sadley Way, Harold Weed, Bill Weston, Steve 'Spaz' Williams, Fred Wood, Colin Higgins",George Lucas
0.0,63105,en,83.000000,1995-09-26,0.0,Released,Nemesis 2 - Nebula,4.6,10.0,1995,0.0,Nemesis Collection,Tuesday,September,"Science Fiction, Action, Thriller","Sue Price, Chad Stahelski, Tina Cote, Earl White, Jahi J.J. Zuri, Karen Studer, Shelton Baily, Jon H. Epstein, Sharon Bruneau, Debbie Muggli",Albert Pyun
0.0,527,en,99.000000,1994-09-02,2201126.0,Released,Once Were Warriors,7.6,106.0,1994,0.0,Once were Warriors Collection,Friday,September,Drama,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell, Julian Arahanga, Taungaroa Emile, Rachael Morris Jr., Joseph Kairau, Cliff Curtis, Pete Smith, George Henare, Mere Boynton, Shannon Williams, Calvin Tuteao, Ray Bishop, Ian Mune, Robert Pollock",Lee Tamahori
0.0,18220,en,106.000000,1996-01-16,0.0,Released,Poison Ivy II: Lily,4.6,32.0,1996,0.0,Poison Ivy Collection,Tuesday,January,"Drama, Romance, Thriller","Alyssa Milano, Johnathon Schaech, Xander Berkeley, Belinda Bauer, Camilla Belle, Kathryne Dora Brown, Walter Kim, Kate Rodger",Anne Goursaud
35000000.0,22586,en,89.000000,1994-11-18,9771658.0,Released,The Swan Princess,6.5,251.0,1994,0.28,Swan Princess Series,Friday,November,Animation,"Michelle Nicastro, Jack Palance, Howard McGillin, John Cleese, Steven Wright, Steve Vinovich, Mark Harelik, James Arrington, Joel McKinnon Miller, Dakin Matthews, Sandy Duncan, Brian Nissen, Adam Wylie",Richard Rich
22000000.0,11395,en,97.000000,1994-11-10,189833357.0,Released,The Santa Clause,6.3,501.0,1994,8.63,The Santa Clause Collection,Thursday,November,"Fantasy, Drama, Comedy, Family","Tim Allen, Judge Reinhold, Wendy Crewson, David Krumholtz, Peter Boyle, Eric Lloyd, Paige Tamada, Larry Brandenburg, Jayne Eastwood, Kenny Vadas, Chris Benson",John Pasquin
0.0,9059,en,92.000000,1995-01-13,0.0,Released,Tales from the Crypt: Demon Knight,6.7,96.0,1995,0.0,Tales from the Crypt Collection,Friday,January,"Horror, Comedy, Thriller","Billy Zane, William Sadler, Jada Pinkett Smith, Brenda Bakke, CCH Pounder, John Kassir, Dick Miller, Thomas Haden Church, John Schuck, Gary Farmer, Charles Fleischer, Tim DeZarn, Sherrie Rose, Ryan O'Donohue, Tony Salome, Chasey Lain, Traci Bingham, Peggy Trentini",Ernest R. Dickerson
38000000.0,193,en,118.000000,1994-11-17,120000000.0,Released,Star Trek: Generations,6.4,461.0,1994,3.16,Star Trek: The Next Generation Collection,Thursday,November,"Science Fiction, Action, Adventure, Thriller","Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden, Marina Sirtis, William Shatner, James Doohan, Walter Koenig, Malcolm McDowell, Alan Ruck, Whoopi Goldberg, Thomas Dekker, Cameron Oppenheimer, Jenette Goldstein, Tim Russ",David Carson
15000000.0,3049,en,86.000000,1994-02-04,107217396.0,Released,Ace Ventura: Pet Detective,6.4,1684.0,1994,7.15,Ace Ventura Collection,Friday,February,"Comedy, Mystery","Jim Carrey, Sean Young, Courteney Cox, Tone Loc, Dan Marino, Noble Willingham, Troy Evans, Raynor Scheine, Udo Kier, Frank Adonis, Tiny Ron Taylor, John Capodice, Alice Drummond, Rebecca Ferratti, Mark Margolis, Randall 'Tex' Cobb, Bubba Baker, Robert Deacon, Greg Finley",Tom Shadyac
62000000.0,9331,en,141.000000,1994-08-03,215887717.0,Released,Clear and Present Danger,6.4,390.0,1994,3.48,The Jack Ryan Collection,Wednesday,August,"Action, Drama, Thriller","Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Raymond Cruz, Dean Jones, Thora Birch, Ann Magnuson, Hope Lange, Tom Tammi, James Earl Jones, Ted Raimi, Greg Germann",Phillip Noyce
15000000.0,9495,en,102.000000,1994-05-11,94000000.0,Released,The Crow,7.3,980.0,1994,6.27,The Crow Collection,Wednesday,May,"Fantasy, Action, Thriller","Brandon Lee, Rochelle Davis, Ernie Hudson, Michael Wincott, Bai Ling, Sofia Shinas, Anna Levine, David Patrick Kelly, Angel David, Laurence Mason, Michael Massee, Tony Todd, Jon Polito, Bill Raymond, Marco RodrÃ­guez, Norman Max Maxwell",Alex Proyas
46000000.0,888,en,91.000000,1994-05-26,341631208.0,Released,The Flintstones,5.0,559.0,1994,7.43,The Flintstones (Live-Action) Collection,Thursday,May,"Fantasy, Comedy, Family","John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell, Kyle MacLachlan, Halle Berry, Elizabeth Taylor, Dann Florek, Richard Moll, Irwin Keyes, Jonathan Winters, Harvey Korman, Corey Burton, Roger L. Jackson, Jean Vander Pyl",Brian Levant
45000000.0,8587,en,89.000000,1994-06-23,788241776.0,Released,The Lion King,8.0,5520.0,1994,17.52,The Lion King Collection,Thursday,June,"Family, Animation, Drama","Jonathan Taylor Thomas, Matthew Broderick, James Earl Jones, Jeremy Irons, Moira Kelly, Niketa Calame, Ernie Sabella, Nathan Lane, Robert Guillaume, Rowan Atkinson, Whoopi Goldberg, Cheech Marin, Jim Cummings, Madge Sinclair, Joseph Williams, Jason Weaver, Sally Dworsky, Laura Williams, Zoe Leader, Frank Welker, Judi M. Durand, Daamen J. Krall, David McCharen, Mary Linda Phillips, Phil Proctor, David J. Randolph, Evan Saucedo, Brian Tochi","Roger Allers, Rob Minkoff"
14000000.0,11596,en,112.000000,1994-10-13,18090181.0,Released,New Nightmare,6.4,297.0,1994,1.29,A Nightmare on Elm Street Collection,Thursday,October,"Horror, Thriller, Mystery, Fantasy","Heather Langenkamp, Robert Englund, Miko Hughes, Wes Craven, David Newsom, Tracy Middendorf, John Saxon, Jeff Davis, Matt Winston, Rob LaBelle, Marianne Maddalena, Gretchen Oehler, Cully Fredricksen, Bodhi Elfman, Sam Rubin, Claudia Haro, Sara Risher, Robert Shaye, Cindy Guidry, Ray Glanzmann, Yonda Davis, Michael Hagiwara, W. Earl Brown, Kenneth Zanchi, Jsu Garcia, Tuesday Knight, Beans Morocco, Tamara Mark, Lin Shaye, Deborah Zara Kobylt, Diane Nadeau, Star-Shemah Bobatoon, Lou Thornton, Cynthia Savage, Jessica Craven, Sandra Ellis Lafferty, Thomas G. Burt, Tina Vail, Kathryn Greenwood, Kevin Harrison, Amanda Wyss, Fran Bennett",Wes Craven
